city,latitude,longitude,country,iso2,admin_name,capital,population,population_proper
Conakry,9.5092,-13.7122,Guinea,GN,Conakry,primary,1667864,1667864
Mamou,10.3833,-12.0833,Guinea,GN,Mamou,admin,376269,376269
Guéckédou,8.5667,-10.1333,Guinea,GN,N’Zérékoré,minor,221715,221715
Kankan,10.3833,-9.3000,Guinea,GN,Kankan,admin,198013,198013
N’Zérékoré,7.7500,-8.8167,Guinea,GN,N’Zérékoré,admin,195027,195027
Siguiri,11.4167,-9.1667,Guinea,GN,Kankan,minor,183875,183875
Kindia,10.0497,-12.8542,Guinea,GN,Kindia,admin,181126,181126
Boké,10.9400,-14.3000,Guinea,GN,Boké,admin,116270,116270
Labé,11.3167,-12.2833,Guinea,GN,Labé,admin,107695,107695
Faranah,10.0333,-10.7333,Guinea,GN,Faranah,admin,78108,78108
Kissidougou,9.1905,-10.1200,Guinea,GN,Faranah,minor,66815,66815
Macenta,8.5504,-9.4800,Guinea,GN,N’Zérékoré,minor,43102,43102
Dabola,10.7500,-11.1167,Guinea,GN,Faranah,minor,38617,38617
Télimélé,10.9050,-13.0430,Guinea,GN,Kindia,minor,30311,30311
Yomou,7.5660,-9.2533,Guinea,GN,N’Zérékoré,minor,29138,29138
Tougué,11.4400,-11.6700,Guinea,GN,Labé,minor,25531,25531
Fria,10.3804,-13.5500,Guinea,GN,Boké,minor,23729,23729
Pita,11.0800,-12.4010,Guinea,GN,Mamou,minor,20052,20052
Kérouané,9.2704,-9.0200,Guinea,GN,Kankan,minor,15406,15406
Kouroussa,10.6530,-9.8920,Guinea,GN,Kankan,minor,14223,14223
Koundara,12.4800,-13.2960,Guinea,GN,Boké,minor,13990,13990
Beyla,8.6833,-8.6333,Guinea,GN,N’Zérékoré,minor,13204,13204
Forécariah,9.4300,-13.0980,Guinea,GN,Kindia,minor,12358,12358
Gaoual,11.7540,-13.2130,Guinea,GN,Boké,minor,7461,7461
Dalaba,10.6560,-12.2720,Guinea,GN,Mamou,minor,6349,6349
Dinguiraye,11.2990,-10.7260,Guinea,GN,Faranah,minor,6062,6062
Mali,12.0840,-12.3010,Guinea,GN,Labé,minor,5479,5479
Boffa,10.1850,-14.0430,Guinea,GN,Boké,minor,2332,2332
Dubréka,9.7911,-13.5233,Guinea,GN,Kindia,minor,567902,567902
Coyah,9.7056,-13.3769,Guinea,GN,Kindia,minor,607431,607431
Lola,7.8000,-8.5333,Guinea,GN,N’Zérékoré,minor,2830,2830
Koubia,11.5833,-11.9000,Guinea,GN,Labé,minor,3190,3190
Mandiana,10.6333,-8.6833,Guinea,GN,Kankan,minor,2940,2940
Lélouma,11.1833,-12.9333,Guinea,GN,Labé,minor,3450,3450
